城市,区域,房屋类型,面积(平方米),房间数,客厅数,卫生间数,楼层,总楼层,建筑年份,房龄(年),朝向,装修情况,总价(元),单价(元/平方米),是否有电梯,是否有车位,是否有学区,挂牌日期
苏州,高新区,别墅,364.2,5,3,4,15,34,1996,28,东,豪华装修,10659395,29268,有,有,否,2025-06-01
上海,长宁区,普通住宅,123.4,2,2,1,7,26,2014,10,东,精装修,7693973,62350,有,有,是,2025-09-06
上海,浦东新区,普通住宅,191.1,4,1,2,9,24,2019,5,东北,毛坯,13216888,69162,有,无,是,2025-11-04
北京,海淀区,公寓,57.7,2,1,1,18,18,2022,2,东,精装修,4716536,81742,有,有,否,2025-04-07
广州,海珠区,别墅,152.0,6,3,3,22,32,2018,6,南,简装修,7914425,52069,有,无,否,2025-01-06
重庆,沙坪坝区,商住两用,180.6,3,1,2,23,27,2008,16,东南,精装修,1681805,9312,有,无,是,2025-05-25
广州,海珠区,普通住宅,134.0,4,1,2,5,20,2015,9,西,毛坯,4539456,33877,有,无,否,2024-11-27
深圳,龙华区,商住两用,143.2,4,2,3,33,33,2021,3,西南,豪华装修,10195794,71200,有,无,否,2025-08-17
杭州,拱墅区,别墅,217.3,3,4,2,13,30,2018,6,东,豪华装修,12836055,59071,有,有,是,2025-07-05
北京,西城区,普通住宅,191.3,4,2,3,10,24,1998,26,东南,豪华装修,16347308,85454,有,有,否,2025-07-29
西安,新城区,公寓,44.0,2,1,2,4,7,2021,3,西北,豪华装修,527557,11990,有,有,是,2025-07-03
长沙,雨花区,写字楼,230.4,0,2,2,1,3,2001,23,东北,豪华装修,1973129,8564,无,无,否,2024-12-23
上海,静安区,公寓,53.5,1,1,2,33,33,2000,24,西南,简装修,2653915,49606,有,无,否,2025-04-27
南京,鼓楼区,公寓,75.2,2,1,1,14,26,2022,2,南,精装修,2344571,31178,有,无,否,2025-09-06
重庆,九龙坡区,别墅,176.0,7,2,3,20,35,2014,10,东,豪华装修,2758094,15671,有,无,否,2025-02-02
成都,高新区,普通住宅,115.6,4,1,3,4,17,2009,15,西北,精装修,1938933,16773,有,无,否,2025-09-06
武汉,洪山区,写字楼,121.0,0,2,1,34,35,2014,10,西南,简装修,1144598,9459,有,有,是,2025-02-06
广州,越秀区,写字楼,140.2,0,2,1,24,34,1990,34,西南,毛坯,3659093,26099,有,无,是,2024-12-26
深圳,龙华区,别墅,296.7,4,2,4,8,11,2010,14,西南,毛坯,20769482,70002,有,有,是,2025-09-04
郑州,二七区,别墅,392.8,7,4,2,9,9,2002,22,东南,毛坯,4482369,11411,有,有,是,2025-08-10
重庆,渝中区,写字楼,258.0,0,1,1,19,21,2019,5,南,豪华装修,2872324,11133,有,有,否,2025-02-14
武汉,汉阳区,普通住宅,157.1,4,2,1,35,35,2018,6,东,毛坯,1706645,10863,有,无,是,2025-04-12
青岛,崂山区,普通住宅,135.9,4,1,1,22,25,2024,0,南,豪华装修,3061476,22527,有,有,是,2025-06-03
长沙,开福区,公寓,44.4,1,1,1,20,25,1993,31,西北,豪华装修,471616,10622,有,有,是,2025-02-14
苏州,吴江区,普通住宅,117.4,2,2,2,16,28,2007,17,东北,豪华装修,2570838,21898,有,有,否,2025-06-07
重庆,南岸区,商住两用,104.8,2,1,2,1,33,2004,20,北,豪华装修,1084677,10350,有,无,否,2025-11-08
成都,武侯区,普通住宅,108.4,2,1,2,35,35,1997,27,西南,精装修,1709043,15766,有,有,否,2025-06-27
大连,旅顺口区,商住两用,145.3,2,2,1,5,12,1993,31,北,精装修,1600185,11013,有,有,否,2025-04-24
西安,碑林区,写字楼,257.9,0,2,1,1,29,2014,10,西南,简装修,1919963,7445,有,无,否,2025-01-07
西安,新城区,写字楼,235.4,0,2,2,21,34,2004,20,西南,精装修,2070649,8796,有,有,否,2024-12-27
南京,栖霞区,写字楼,179.0,0,1,2,7,27,2022,2,西,豪华装修,4587663,25629,有,有,否,2025-05-26
重庆,渝中区,写字楼,122.0,0,1,2,33,35,2013,11,东北,豪华装修,1024717,8399,有,无,是,2025-07-15
深圳,龙华区,别墅,350.4,3,2,3,20,24,2020,4,南,毛坯,30066014,85805,有,有,否,2025-11-05
杭州,江干区,写字楼,202.6,0,2,2,31,31,2012,12,东北,精装修,4787316,23629,有,无,是,2025-06-25
